Row Labels,#,%
"Energy, Oil & Gas Jobs",41,2%
Manufacturing Jobs,39,2%
Scientific & QA Jobs,31,2%
"PR, Advertising & Marketing Jobs",29,2%
Social work Jobs,24,1%
Consultancy Jobs,23,1%
Maintenance Jobs,21,1%
Creative & Design Jobs,20,1%
Legal Jobs,17,1%
Travel Jobs,16,1%
Domestic help & Cleaning Jobs,15,1%
Other/General Jobs,11,1%
Property Jobs,5,0%
Graduate Jobs,1,0%
Vancouver,901,8%
Trade & Construction Jobs,130,14%
IT Jobs,85,9%
Hospitality & Catering Jobs,79,9%
Engineering Jobs,69,8%
Healthcare & Nursing Jobs,65,7%
Accounting & Finance Jobs,61,7%
Admin Jobs,57,6%
Sales Jobs,49,5%
Part time Jobs,48,5%
Teaching Jobs,39,4%
Logistics & Warehouse Jobs,36,4%
Retail Jobs,33,4%
Scientific & QA Jobs,21,2%
Customer Services Jobs,17,2%
HR & Recruitment Jobs,16,2%
Manufacturing Jobs,16,2%
"PR, Advertising & Marketing Jobs",14,2%
Maintenance Jobs,11,1%
Social work Jobs,9,1%
Creative & Design Jobs,8,1%
Domestic help & Cleaning Jobs,8,1%
Consultancy Jobs,8,1%
Travel Jobs,6,1%
Other/General Jobs,4,0%
"Energy, Oil & Gas Jobs",4,0%
Legal Jobs,4,0%
Property Jobs,3,0%
Graduate Jobs,1,0%
Québec City,800,7%
Trade & Construction Jobs,298,37%
Engineering Jobs,140,18%
Admin Jobs,57,7%
IT Jobs,51,6%
Hospitality & Catering Jobs,45,6%
Customer Services Jobs,37,5%
Sales Jobs,25,3%
Teaching Jobs,19,2%
Consultancy Jobs,19,2%
Logistics & Warehouse Jobs,16,2%
Part time Jobs,14,2%
Retail Jobs,13,2%
HR & Recruitment Jobs,13,2%
Manufacturing Jobs,10,1%
Healthcare & Nursing Jobs,10,1%
Other/General Jobs,9,1%
Scientific & QA Jobs,5,1%
Maintenance Jobs,4,1%
Creative & Design Jobs,4,1%
"PR, Advertising & Marketing Jobs",4,1%
Accounting & Finance Jobs,3,0%
"Energy, Oil & Gas Jobs",2,0%
Property Jobs,1,0%
Social work Jobs,1,0%
Halifax,701,6%
Accounting & Finance Jobs,64,9%
IT Jobs,63,9%
Hospitality & Catering Jobs,63,9%
Trade & Construction Jobs,53,8%
Retail Jobs,52,7%
Healthcare & Nursing Jobs,51,7%
Part time Jobs,48,7%
Engineering Jobs,42,6%
Admin Jobs,42,6%
Sales Jobs,36,5%
Customer Services Jobs,34,5%
"PR, Advertising & Marketing Jobs",22,3%
HR & Recruitment Jobs,21,3%
Logistics & Warehouse Jobs,20,3%
Consultancy Jobs,12,2%
Scientific & QA Jobs,11,2%
Social work Jobs,11,2%
Legal Jobs,9,1%
Maintenance Jobs,9,1%
Teaching Jobs,8,1%
Travel Jobs,8,1%
Domestic help & Cleaning Jobs,6,1%
Manufacturing Jobs,5,1%
"Energy, Oil & Gas Jobs",4,1%
Other/General Jobs,3,0%
Creative & Design Jobs,3,0%
Property Jobs,1,0%
Sherbrooke,199,2%
Trade & Construction Jobs,59,30%
Engineering Jobs,40,20%
Customer Services Jobs,23,12%
Retail Jobs,17,9%
Admin Jobs,9,5%
Hospitality & Catering Jobs,8,4%
IT Jobs,7,4%
Healthcare & Nursing Jobs,5,3%
Teaching Jobs,5,3%
Part time Jobs,4,2%
Logistics & Warehouse Jobs,4,2%
Manufacturing Jobs,4,2%
Sales Jobs,3,2%
Accounting & Finance Jobs,2,1%
Domestic help & Cleaning Jobs,2,1%
HR & Recruitment Jobs,2,1%
Other/General Jobs,2,1%
Maintenance Jobs,1,1%
Consultancy Jobs,1,1%
"PR, Advertising & Marketing Jobs",1,1%
(blank),,0%
(blank),,
Grand Total,11050,100%
